App Id,App Name,Keyword,Brand,Volume,Max. Volume,Difficulty,Chance,KEI,Results,Rank,Rank Status,Growth (Yesterday),Monthly Downloads,Maximum Reach,Conversion Rate,Relevancy Score
6479689893,Tattoo AI - Tattoo Design,tattoo face,false,5,5,5,86,26,191,4,ranked,undefined,0,0,0,97
6479689893,Tattoo AI - Tattoo Design,face tattoo generator,false,5,5,0,88,26,227,4,ranked,undefined,0,0,0,100
6479689893,Tattoo AI - Tattoo Design,generator maker tattoos,false,5,5,0,73,22,231,3,estimated,undefined,0,0,0,99
6479689893,Tattoo AI - Tattoo Design,tatto,false,5,40,7,87,26,230,4,ranked,0,0,0,0,80
6479689893,Tattoo AI - Tattoo Design,tattoo ai free,false,5,36,0,90,27,242,4,ranked,0,0,0,0,99
6479689893,Tattoo AI - Tattoo Design,tattoo ai maker,false,5,29,1,99,30,242,1,ranked,0,0,0,0,99
6479689893,Tattoo AI - Tattoo Design,tattoo ai generator maker,false,5,36,15,100,30,238,1,ranked,0,0,0,0,99
6479689893,Tattoo AI - Tattoo Design,inkscape,false,48,49,8,73,75,236,,unranked,0,0,7972,0,78
6479689893,Tattoo AI - Tattoo Design,tatto maker,false,5,24,1,90,27,232,3,ranked,2,0,0,0,88
6479689893,Tattoo AI - Tattoo Design,créez,false,5,5,2,91,27,194,3,ranked,undefined,0,0,0,49
6479689893,Tattoo AI - Tattoo Design,tatuaje,false,5,5,7,73,22,232,4,estimated,undefined,0,0,0,87
6479689893,Tattoo AI - Tattoo Design,ink on,false,5,5,1,73,22,209,24,ranked,undefined,0,0,0,100
6479689893,Tattoo AI - Tattoo Design,hairstyle tattoo,false,5,0,0,73,22,213,17,ranked,undefined,0,0,0,78
6479689893,Tattoo AI - Tattoo Design,avatar tat,false,5,5,13,82,25,204,7,ranked,undefined,0,0,0,99
6479689893,Tattoo AI - Tattoo Design,tribal tatttoo,false,5,5,1,99,30,229,1,ranked,undefined,0,0,0,100
6479689893,Tattoo AI - Tattoo Design,tattoo maker ai,false,5,5,1,73,22,240,2,estimated,undefined,0,0,0,99
6479689893,Tattoo AI - Tattoo Design,heena tattoo,false,5,5,0,86,26,208,4,ranked,undefined,0,0,0,65
6479689893,Tattoo AI - Tattoo Design,generator tattoo,false,5,5,1,95,29,235,2,ranked,undefined,0,0,0,98
6479689893,Tattoo AI - Tattoo Design,tattoo my photo n your body,false,5,5,0,90,27,204,3,ranked,undefined,0,0,0,100
6479689893,Tattoo AI - Tattoo Design,diseño de tatuajes,false,5,5,4,73,22,231,2,estimated,undefined,0,0,0,100
6479689893,Tattoo AI - Tattoo Design,tatuajes,false,5,36,7,87,26,226,4,ranked,-1,0,0,0,86
6479689893,Tattoo AI - Tattoo Design,generator tattoo maker,false,5,5,2,85,26,236,5,ranked,undefined,0,0,0,99
6479689893,Tattoo AI - Tattoo Design,inkind,true,56,59,35,71,80,67,,unranked,0,0,24065,0,20
6479689893,Tattoo AI - Tattoo Design,بنترست,true,61,63,64,43,58,213,,unranked,0,0,57454,0,73
6479689893,Tattoo AI - Tattoo Design,free tattoo generator,false,5,34,0,92,28,245,3,ranked,1,0,0,0,93
6479689893,Tattoo AI - Tattoo Design,japanese,false,48,50,1,73,75,204,,unranked,0,0,9011,0,14
6479689893,Tattoo AI - Tattoo Design,preview,true,56,62,6,73,82,144,,unranked,0,0,51138,0,51
6479689893,Tattoo AI - Tattoo Design,body,false,49,51,22,73,76,217,,unranked,0,0,9390,0,42
6479689893,Tattoo AI - Tattoo Design,creator,false,45,48,44,63,65,230,,unranked,0,0,2347,0,51
6479689893,Tattoo AI - Tattoo Design,viewer,false,5,31,2,73,22,198,,unranked,0,0,0,0,24
6479689893,Tattoo AI - Tattoo Design,art generator,false,5,35,8,73,22,214,,unranked,0,0,0,0,86
6479689893,Tattoo AI - Tattoo Design,stencil,false,5,33,0,73,22,223,16,ranked,0,0,0,0,78
6479689893,Tattoo AI - Tattoo Design,stencil maker,false,5,40,0,77,23,232,8,ranked,0,0,0,0,83
6479689893,Tattoo AI - Tattoo Design,ink art,false,5,5,0,73,22,219,12,estimated,undefined,0,0,0,70
6479689893,Tattoo AI - Tattoo Design,art design,false,5,30,28,73,22,234,18,ranked,1,0,0,0,74
6479689893,Tattoo AI - Tattoo Design,ink art design,false,5,5,1,94,28,225,2,ranked,undefined,0,0,0,91
6479689893,Tattoo AI - Tattoo Design,tattoos,false,5,38,7,88,26,214,4,ranked,0,0,0,0,80
6479689893,Tattoo AI - Tattoo Design,tattoos generator,false,5,31,8,100,30,226,1,ranked,0,0,0,0,99
6479689893,Tattoo AI - Tattoo Design,generator creator,false,5,5,5,73,22,241,,unranked,undefined,0,0,0,49
6479689893,Tattoo AI - Tattoo Design,tattoos generator creator,false,5,5,1,73,22,226,6,estimated,undefined,0,0,0,98
6479689893,Tattoo AI - Tattoo Design,stencil creator,false,5,5,0,73,22,230,31,estimated,undefined,0,0,0,99
6479689893,Tattoo AI - Tattoo Design,design ink,false,5,5,2,73,22,231,9,estimated,undefined,0,0,0,81
6479689893,Tattoo AI - Tattoo Design,designs,false,5,28,7,73,22,228,,unranked,0,0,0,0,53
6479689893,Tattoo AI - Tattoo Design,artist,false,5,41,20,73,22,215,,unranked,0,0,0,0,59
6479689893,Tattoo AI - Tattoo Design,tattoo artist,false,5,33,1,85,26,217,5,ranked,0,0,0,0,87
6479689893,Tattoo AI - Tattoo Design,ai generator,false,52,54,73,34,44,230,,unranked,0,0,14480,0,71
6479689893,Tattoo AI - Tattoo Design,inkhunter,true,5,43,5,89,27,233,4,ranked,0,0,0,0,78
6479689893,Tattoo AI - Tattoo Design,inkhunter ai,true,5,5,8,96,29,229,2,ranked,undefined,0,0,0,99
6479689893,Tattoo AI - Tattoo Design,inkhunter ai tattoo,true,5,5,0,73,22,228,3,estimated,undefined,0,0,0,99
6479689893,Tattoo AI - Tattoo Design,inklab,false,5,43,0,73,22,242,,unranked,0,0,0,0,100
6479689893,Tattoo AI - Tattoo Design,generator inklab,true,5,5,0,73,22,236,17,ranked,undefined,0,0,0,100
6479689893,Tattoo AI - Tattoo Design,tattoo generator inklab,true,5,5,1,74,22,207,9,ranked,0,0,0,0,100
6479689893,Tattoo AI - Tattoo Design,tattooist,false,5,42,1,98,29,210,1,ranked,0,0,0,0,95
6479689893,Tattoo AI - Tattoo Design,ink,false,5,49,1,73,22,212,127,ranked,-75,0,0,0,70
6479689893,Tattoo AI - Tattoo Design,generator maker,false,5,5,6,73,22,237,,unranked,undefined,0,0,0,51
6479689893,Tattoo AI - Tattoo Design,tattoo ai generator,false,5,5,8,73,22,234,1,estimated,undefined,0,0,0,87
6479689893,Tattoo AI - Tattoo Design,ai generator maker,false,5,5,54,53,16,240,99,estimated,undefined,0,0,0,97
6479689893,Tattoo AI - Tattoo Design,inkai,true,5,5,0,73,22,60,2,estimated,undefined,0,0,0,97
6479689893,Tattoo AI - Tattoo Design,inkdna,false,5,37,0,73,22,229,44,ranked,-5,0,0,0,54
6479689893,Tattoo AI - Tattoo Design,inkdna ai,false,5,5,20,79,24,234,7,ranked,undefined,0,0,0,99
6479689893,Tattoo AI - Tattoo Design,inkdna ai tattoo,false,5,5,1,73,22,232,6,estimated,undefined,0,0,0,100
6479689893,Tattoo AI - Tattoo Design,tattoodo,true,5,45,0,86,26,187,5,ranked,0,0,0,0,84
6479689893,Tattoo AI - Tattoo Design,tattoo generator maker,false,5,5,1,73,22,232,5,estimated,undefined,0,0,0,98
6479689893,Tattoo AI - Tattoo Design,tattoo,false,50,51,7,88,90,208,4,ranked,-1,284,10015,2.84,75
6479689893,Tattoo AI - Tattoo Design,ai,false,79,79,91,20,44,233,,unranked,0,0,922678,0,48
6479689893,Tattoo AI - Tattoo Design,design,false,52,54,36,70,76,234,,unranked,0,0,15141,0,47
6479689893,Tattoo AI - Tattoo Design,tattoo ai,false,53,56,8,100,100,232,1,ranked,0,3150,17765,17.73,96
6479689893,Tattoo AI - Tattoo Design,ai tattoo,false,5,46,8,99,30,237,1,ranked,0,0,0,0,90
6479689893,Tattoo AI - Tattoo Design,tattoo design,false,51,51,1,94,96,220,3,ranked,0,428,10823,3.95,75
6479689893,Tattoo AI - Tattoo Design,tattoo ai tattoo,false,5,5,1,73,22,239,1,estimated,undefined,0,0,0,99
6479689893,Tattoo AI - Tattoo Design,ai tattoo design,false,5,37,1,99,30,242,1,ranked,1,0,0,0,98
6479689893,Tattoo AI - Tattoo Design,generator,false,5,39,32,73,22,232,,unranked,0,0,0,0,43
6479689893,Tattoo AI - Tattoo Design,art,false,62,67,46,61,75,221,,unranked,0,0,77906,0,65
6479689893,Tattoo AI - Tattoo Design,maker,false,5,45,30,73,22,231,,unranked,0,0,0,0,42
6479689893,Tattoo AI - Tattoo Design,tattoo generator,false,49,59,8,99,98,226,1,ranked,0,1360,7727,17.6,85
6479689893,Tattoo AI - Tattoo Design,art maker,false,5,28,21,73,22,226,158,ranked,10,0,0,0,81
6479689893,Tattoo AI - Tattoo Design,ai tattoo generator,false,5,48,8,99,30,234,1,ranked,0,0,0,0,84
6479689893,Tattoo AI - Tattoo Design,tatto drawing,false,5,29,2,84,25,224,5,ranked,undefined,0,0,0,100
6479689893,Tattoo AI - Tattoo Design,tatto desin,false,5,5,1,94,28,222,3,ranked,undefined,0,0,0,92
6479689893,Tattoo AI - Tattoo Design,tattoo stancil,false,5,5,6,80,24,227,7,ranked,undefined,0,0,0,94
6479689893,Tattoo AI - Tattoo Design,3d tattoo,false,5,5,1,89,27,212,4,ranked,undefined,0,0,0,95
6479689893,Tattoo AI - Tattoo Design,ai 타투,false,5,5,0,73,22,99,1,estimated,undefined,0,0,0,98
6479689893,Tattoo AI - Tattoo Design,ai for tattoo,false,5,27,8,98,29,237,1,ranked,0,0,0,0,95
6479689893,Tattoo AI - Tattoo Design,ai for tattoos,false,5,5,8,100,30,239,1,ranked,undefined,0,0,0,99
6479689893,Tattoo AI - Tattoo Design,ai full body ink,false,5,5,1,73,22,236,1,estimated,undefined,0,0,0,99
6479689893,Tattoo AI - Tattoo Design,ai generator tattoo,false,5,5,8,73,22,236,1,estimated,undefined,0,0,0,98
6479689893,Tattoo AI - Tattoo Design,ai generator weird,false,5,5,36,98,29,238,1,ranked,undefined,0,0,0,54
6479689893,Tattoo AI - Tattoo Design,ai tatoo,true,5,27,7,99,30,241,1,ranked,0,0,0,0,100
6479689893,Tattoo AI - Tattoo Design,ai tatoo designer,false,5,5,1,100,30,243,1,ranked,undefined,0,0,0,100
6479689893,Tattoo AI - Tattoo Design,ai tatoo generator,false,5,5,8,100,30,232,1,ranked,undefined,0,0,0,98
6479689893,Tattoo AI - Tattoo Design,ai tatoo maker tattoo printer,false,5,5,2,73,22,224,1,estimated,undefined,0,0,0,99
6479689893,Tattoo AI - Tattoo Design,ai tatt,false,5,5,0,73,22,235,1,estimated,undefined,0,0,0,99
6479689893,Tattoo AI - Tattoo Design,ai tatto,false,5,5,7,100,30,238,1,ranked,0,0,0,0,91
6479689893,Tattoo AI - Tattoo Design,ai tatto generator,true,5,5,8,98,29,232,1,ranked,undefined,0,0,0,99
6479689893,Tattoo AI - Tattoo Design,ai tattoo app,false,5,28,8,98,29,237,1,ranked,0,0,0,0,99
